Stop_Words,Pre-Processing,N_Grams,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,None,"(1, 1)",2000,LogReg,0.8410596026490066,0.8337952196455145,0.7762870994899048,0.7998448773448774
Not Removed,None,"(1, 1)",1000,LogReg,0.8454746136865342,0.8374228395061728,0.7726504997106983,0.7983875550729254
Not Removed,Stemming,"(1, 2)",4000,SVM,0.8432671081677704,0.8706166056166057,0.7585958255157553,0.7983165013094168
Not Removed,None,"(1, 1)",1000,SVM,0.8410596026490066,0.8255074974286797,0.7780986714359011,0.7977512323676046
Not Removed,Lemmatizing,"(1, 2)",4000,SVM,0.8410596026490066,0.866921156246999,0.758998332055024,0.7977325639515488
Not Removed,None,"(1, 1)",1000,NaiveBayes,0.8322295805739515,0.8245863738960839,0.7729901146032064,0.794615945299571
Not Removed,None,"(1, 1)",2000,SVM,0.8366445916114791,0.8200453068333734,0.7807152564604346,0.7945854400127264
Not Removed,Stemming,"(1, 1)",1000,SVM,0.8388520971302428,0.8126292693157801,0.7801808237226121,0.7933274780107178
Not Removed,None,"(1, 3)",4000,LogReg,0.8388520971302428,0.852579365079365,0.7587412076015232,0.7921508960769331
Not Removed,Stemming,"(1, 1)",1000,NaiveBayes,0.8300220750551877,0.8205190319914232,0.7700333296475903,0.7910890407992194
Not Removed,None,"(1, 3)",4000,SVM,0.8388520971302428,0.8733438744077042,0.7445478792644193,0.7869537570029256
Not Removed,Stemming,"(1, 3)",2000,SVM,0.8366445916114791,0.8599377230956179,0.7494616182517994,0.7860837002992899
Not Removed,Lemmatizing,"(1, 1)",1000,NaiveBayes,0.8278145695364238,0.8159130219915988,0.7638491793956433,0.785000776451889
Not Removed,Lemmatizing,"(1, 2)",4000,NaiveBayes,0.8278145695364238,0.8457651844279751,0.7479762053110971,0.7827017846853329
Not Removed,None,"(1, 2)",4000,SVM,0.8322295805739515,0.8514114859930806,0.7443396055318908,0.7820613038428522
Not Removed,Stemming,"(1, 1)",2000,NaiveBayes,0.8211920529801324,0.8263327237705118,0.7565265440776837,0.7803907792164342
Not Removed,Stemming,"(1, 2)",4000,NaiveBayes,0.8189845474613686,0.8488562091503268,0.7414518551280679,0.7795184404855949
Not Removed,Lemmatizing,"(1, 3)",4000,SVM,0.8322295805739515,0.8721378082705716,0.735809450596125,0.7785901864958994
Not Removed,Lemmatizing,"(1, 1)",1000,RandFrst,0.8322295805739515,0.8605439176996784,0.7363371553903407,0.7778483609122612
Not Removed,None,"(1, 3)",2000,SVM,0.82560706401766,0.8458978886610465,0.7383008373657116,0.7739046231544925
Not Removed,None,"(1, 2)",4000,NaiveBayes,0.8211920529801324,0.833973193237691,0.739369702841357,0.7732956883634706
Not Removed,Stemming,"(1, 3)",4000,SVM,0.8278145695364238,0.8673105125038592,0.7301597330820008,0.7730507881354679
Not Removed,Stemming,"(1, 1)",1000,RandFrst,0.8278145695364238,0.849685027616062,0.7323670836236588,0.7718840515864712
Not Removed,Lemmatizing,"(1, 1)",2000,NaiveBayes,0.8211920529801324,0.8253314514161675,0.7452967286398028,0.7712449401702894
Not Removed,Lemmatizing,"(1, 3)",2000,NaiveBayes,0.8057395143487859,0.7589546202151927,0.779860222583776,0.7679503157195082
Not Removed,Lemmatizing,"(1, 1)",2000,RandFrst,0.8233995584988962,0.8493954200679633,0.7267173661095345,0.7673329772226788
Not Removed,None,"(1, 3)",2000,NaiveBayes,0.7991169977924945,0.7547581222938667,0.7823516093533627,0.76656099928696
