Stop_Words,Pre-Processing,Model,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,None,SkipGram,300,SVM,0.6843267108167771,0.6000550618971672,0.5700235595033959,0.5493570200447148
Removed,None,SkipGram,900,SVM,0.6644591611479028,0.5612298254032903,0.5414689967583013,0.5442885116303627
Removed,Lemmatizing,SkipGram,900,SVM,0.6600441501103753,0.5530283611028953,0.5387827921434,0.5422305172305172
Not Removed,Lemmatizing,SkipGram,300,RandFrst,0.6997792494481236,0.6104261537201846,0.5410878441270025,0.5419993744559907
Removed,Stemming,SkipGram,900,SVM,0.6622516556291391,0.5687933042564324,0.5389079903983469,0.5409348621892176
Not Removed,Lemmatizing,CBOW,900,SVM,0.6644591611479028,0.5576648744456963,0.5386374100576322,0.5390534085529666
Not Removed,None,CBOW,900,RandFrst,0.6865342163355408,0.5962340853618313,0.5291776288269566,0.5383062330315113
Not Removed,Stemming,SkipGram,300,RandFrst,0.695364238410596,0.5758152970742122,0.5371177723603205,0.5380183602405825
Not Removed,Lemmatizing,CBOW,300,SVM,0.6666666666666666,0.5656412289623233,0.5316482467271479,0.5379505291906461
Not Removed,None,SkipGram,300,RandFrst,0.7019867549668874,0.6100898476704265,0.5360421789410684,0.5354650567491243
Not Removed,Stemming,CBOW,600,SVM,0.6578366445916115,0.5503014587173003,0.5313147747396725,0.5350958500105331
Not Removed,Stemming,CBOW,300,SVM,0.6600441501103753,0.5639235656433387,0.5227778918602998,0.5327295428709863
Removed,Lemmatizing,SkipGram,600,SVM,0.6578366445916115,0.5428694475206103,0.5296351289922301,0.5317046173308033
Not Removed,None,SkipGram,900,RandFrst,0.7108167770419426,0.589687150434814,0.53624372472999,0.5311671185647306
Not Removed,None,SkipGram,600,RandFrst,0.7130242825607064,0.6111430763329497,0.5404843768373867,0.5310546516727673
Removed,Stemming,SkipGram,900,DescTree,0.673289183222958,0.583482076453964,0.5190789854729071,0.530849765726555
Removed,Stemming,SkipGram,900,RandFrst,0.6821192052980133,0.5619507173647301,0.5252075570602748,0.5308289892566854
Not Removed,Lemmatizing,CBOW,900,RandFrst,0.6821192052980133,0.5896289703143286,0.524811778464613,0.5299807822768315
Removed,Stemming,SkipGram,600,RandFrst,0.6843267108167771,0.5681256744830835,0.5246731243224523,0.5285214101894313
Not Removed,Lemmatizing,CBOW,600,SVM,0.6578366445916115,0.5439598726198988,0.5233123245981224,0.5269184187249097
