Stop_Words,Pre-Processing,Model,No_of_Features,Classifier,Accuracy,Precision,Recall,F-Score
Not Removed,Stemming,Dist. Memory,300,RandFrst,0.673289183222958,0.5518546009360632,0.5105488305371415,0.5140280156427793
Removed,Stemming,Dist. Memory,300,SVM,0.6534216335540839,0.547039076105808,0.5281362601643139,0.5112605343374574
Not Removed,Stemming,Dist. Memory,600,RandFrst,0.673289183222958,0.5520198732606724,0.5101530519414798,0.5098005192012601
Not Removed,None,DBOW,600,RandFrst,0.6710816777041942,0.5969453672942046,0.5014011673859716,0.5091815975838458
Removed,Lemmatizing,Dist. Memory,900,SVM,0.6600441501103753,0.5693655182185395,0.5339111759333851,0.5061348008090173
Removed,Lemmatizing,Dist. Memory,600,SVM,0.6600441501103753,0.5774782869122492,0.5355908216808275,0.50497381336528
Not Removed,Stemming,DBOW,900,SVM,0.6136865342163356,0.5860301464927217,0.525927739545507,0.5044755244755246
Removed,Stemming,Dist. Memory,900,SVM,0.6512141280353201,0.544724341249856,0.5237636818583633,0.5042942394349045
Not Removed,Stemming,DBOW,600,SVM,0.6004415011037527,0.5679710144927537,0.5212284171956878,0.5034736334901386
Removed,Stemming,Dist. Memory,600,SVM,0.6490066225165563,0.542795382911662,0.5224865426501896,0.5024979335139791
Not Removed,Lemmatizing,DBOW,900,RandFrst,0.6754966887417219,0.620346269677158,0.4945372023104343,0.5024551374864457
Not Removed,None,DBOW,300,RandFrst,0.673289183222958,0.5776458951533135,0.4977712955503721,0.4995499498678334
Removed,Stemming,Dist. Memory,300,RandFrst,0.6688741721854304,0.5606093671311063,0.4995963233835823,0.495477566002197
Not Removed,Stemming,DBOW,300,SVM,0.5982339955849889,0.58710764021753,0.5317087982196106,0.4947442520218486
Not Removed,Lemmatizing,DBOW,900,SVM,0.6070640176600441,0.6012609355965359,0.524039820065536,0.4914797817053456
Not Removed,Stemming,DBOW,600,RandFrst,0.673289183222958,0.5870470687372096,0.4883530520584875,0.4899077619442361
Removed,None,Dist. Memory,300,SVM,0.6445916114790287,0.5492731048805815,0.5235554081258348,0.4895486368910538
Not Removed,Stemming,Dist. Memory,900,RandFrst,0.6600441501103753,0.5267361111111111,0.4915242536516644,0.4890761246238549
Removed,None,Dist. Memory,300,RandFrst,0.6622516556291391,0.5639985225179666,0.4881582342131729,0.4881832999601394
Removed,None,Dist. Memory,900,SVM,0.6467991169977925,0.5410002994908655,0.52328482778512,0.4880060684182605
Not Removed,Lemmatizing,Dist. Memory,300,RandFrst,0.6777041942604857,0.5690452916259368,0.5072726145198384,0.4877574259125717
Removed,None,Dist. Memory,600,SVM,0.6467991169977925,0.5650886735792396,0.5249644735325624,0.4850589478773088
Not Removed,Stemming,DBOW,900,RandFrst,0.6710816777041942,0.5685612605835652,0.4824327542036484,0.48294027633347
Not Removed,None,DBOW,900,SVM,0.6004415011037527,0.5793579221130137,0.5154333175957957,0.4817074860103675
Not Removed,Lemmatizing,DBOW,600,SVM,0.5894039735099338,0.5672147995889003,0.507236049608931,0.4802680063812554
Removed,Lemmatizing,Dist. Memory,300,SVM,0.6490066225165563,0.5633130050334669,0.5215984540940707,0.4744809915428693
Not Removed,Stemming,DBOW,300,RandFrst,0.6688741721854304,0.5719178947900604,0.47779632350059,0.473947700118944
Not Removed,None,DBOW,600,SVM,0.5761589403973509,0.5571928207632496,0.4978935686124464,0.4731155108274442
Not Removed,Lemmatizing,DBOW,300,SVM,0.5562913907284768,0.5322893499140298,0.492590193934437,0.4704533709184872
Not Removed,Lemmatizing,Dist. Memory,600,RandFrst,0.6644591611479028,0.5055073878425969,0.4901915357789115,0.4691284325430667
Not Removed,None,DBOW,300,SVM,0.5584988962472406,0.5211301378789063,0.4892241744959454,0.4640886982628417
Not Removed,None,Dist. Memory,300,DescTree,0.6887417218543046,0.4255905633065386,0.5068078013723835,0.4626136994370249
Not Removed,Lemmatizing,DBOW,600,RandFrst,0.6512141280353201,0.5355100547266752,0.4646156969359775,0.4620205887451119
Not Removed,None,Dist. Memory,600,DescTree,0.6887417218543046,0.4273397435897436,0.5037123622746066,0.4618700111915794
Not Removed,Stemming,Dist. Memory,300,DescTree,0.6688741721854304,0.4188824662813102,0.5092430244388164,0.4570171482533089
Not Removed,Lemmatizing,Dist. Memory,600,DescTree,0.6821192052980133,0.4189874629151115,0.4952377860034201,0.4535012745539061
